name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate	dir
Sonnet46_KG_clean_ht10	500	0.908000	0.664885	0.603957	0.754000	temp_run/fusions_clean_kg/tse_timesafe_main_20260529_v6/Sonnet46_kg_clean_ht10
GLM5_KG_clean_ht10	500	0.930000	0.604600	0.529134	0.692000	temp_run/fusions_clean_kg/tse_timesafe_main_20260529_v6/GLM5_kg_clean_ht10
Sonnet46_issue_only	500	0.826000	0.589131	0.577374	0.686000	temp_run/eval_zenmux_sonnet46_issueonly_full
GLM5_issue_only	500	0.874000	0.529894	0.512307	0.624000	temp_run/eval_aliyun_glm5_issueonly
MoonshotKimiK25_KG_clean_ht10	500	0.742000	0.504454	0.448015	0.566000	temp_run/fusions_clean_kg/tse_timesafe_main_20260529_v6/MoonshotKimiK25_kg_clean_ht10
Qwen3CoderNext_KG_clean_ht10	500	0.866000	0.502815	0.429553	0.580000	temp_run/fusions_clean_kg/tse_timesafe_main_20260529_v6/Qwen3CoderNext_kg_clean_ht10
DPR	500	0.578000	0.403429	0.283485	0.454000	runs/text_baselines_dense_filefirst/2203
BM25_nohints	500	0.770000	0.392046	0.252588	0.460000	runs/text_baselines_nohints/2000
Qwen3CoderNext_issue_only	500	0.762000	0.388067	0.397502	0.462000	temp_run/eval_aliyun_qwen3coderplus_issueonly
BLUiR	500	0.556000	0.385940	0.288974	0.434000	runs/text_baselines_bluir/2300
MoonshotKimiK25_issue_only	500	0.516000	0.368201	0.379871	0.418000	temp_run/eval_moonshot_kimik25_issueonly_w1
KG_clean	500	0.556000	0.337737	0.222404	0.378000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
