kind	outcome	rank_bucket	count	total	rate	statistic	value	pvalue	note
rank	correct	1	58	116	0.500000				ground-truth patch rank
rank	correct	2	15	116	0.129310				ground-truth patch rank
rank	correct	3	5	116	0.043103				ground-truth patch rank
rank	correct	4	2	116	0.017241				ground-truth patch rank
rank	correct	5	2	116	0.017241				ground-truth patch rank
rank	correct	6-10	10	116	0.086207				ground-truth patch rank
rank	correct	11-20	8	116	0.068966				ground-truth patch rank
rank	correct	other	16	116	0.137931				not ranked in top 20
rank	wrong	1	58	204	0.284314				ground-truth patch rank
rank	wrong	2	8	204	0.039216				ground-truth patch rank
rank	wrong	3	6	204	0.029412				ground-truth patch rank
rank	wrong	4	3	204	0.014706				ground-truth patch rank
rank	wrong	5	4	204	0.019608				ground-truth patch rank
rank	wrong	6-10	18	204	0.088235				ground-truth patch rank
rank	wrong	11-20	11	204	0.053922				ground-truth patch rank
rank	wrong	other	96	204	0.470588				not ranked in top 20
summary	correct	top1	58	116	0.500000				ground truth ranked first
summary	correct	top5	82	116	0.706897				ground truth ranked within top 5
summary	correct	top10	92	116	0.793103				ground truth ranked within top 10
summary	correct	top20	100	116	0.862069				ground truth ranked within top 20
summary	wrong	top1	58	204	0.284314				ground truth ranked first
summary	wrong	top5	79	204	0.387255				ground truth ranked within top 5
summary	wrong	top10	97	204	0.475490				ground truth ranked within top 10
summary	wrong	top20	108	204	0.529412				ground truth ranked within top 20
test	rank1_vs_rest		320			pearson_chi2	14.886582	1.141722e-04	table [[correct_top1=58, correct_rest=58], [wrong_top1=58, wrong_rest=146]]
test	rank1_vs_rest		320			fisher_odds_ratio	2.517241	1.650101e-04	table [[correct_top1=58, correct_rest=58], [wrong_top1=58, wrong_rest=146]]
test	top5_vs_rest		320			pearson_chi2	30.223299	3.850560e-08	table [[correct_top5=82, correct_rest=34], [wrong_top5=79, wrong_rest=125]]
test	top5_vs_rest		320			fisher_odds_ratio	3.816083	3.711100e-08	table [[correct_top5=82, correct_rest=34], [wrong_top5=79, wrong_rest=125]]
test	top10_vs_rest		320			pearson_chi2	30.853346	2.782820e-08	table [[correct_top10=92, correct_rest=24], [wrong_top10=97, wrong_rest=107]]
test	top10_vs_rest		320			fisher_odds_ratio	4.228522	1.968227e-08	table [[correct_top10=92, correct_rest=24], [wrong_top10=97, wrong_rest=107]]
test	top20_vs_other		320			pearson_chi2	35.970845	2.002922e-09	table [[correct_top20=100, correct_other=16], [wrong_top20=108, wrong_other=96]]
test	top20_vs_other		320			fisher_odds_ratio	5.555556	6.390323e-10	table [[correct_top20=100, correct_other=16], [wrong_top20=108, wrong_other=96]]
