name	N	top_k	file_rate	method_or_entity_rate	mrr	hit_rate	dir
GLM5_issue_b5	500	5	0.838	0.507898457098457	0.5093333333333334	0.604	temp_run/eval_aliyun_glm5_issueonly
GLM5_KG_filelocal_b5	500	5	0.884	0.5540250222000221	0.5268333333333333	0.65	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_KG_b5_p3
GLM5_BM25_filelocal_b5	500	5	0.886	0.5664414363414363	0.5321666666666668	0.662	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_BM25FileLocal_b5_p3
GLM5_BM25_KG_RRF_b5	500	5	0.894	0.5739333555333554	0.5347666666666667	0.666	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/deterministic_budget_fusions/GLM5_Hybrid_b5_p3
GLM5_issue_b10	500	10	0.87	0.529893573093573	0.5123071428571428	0.624	temp_run/eval_aliyun_glm5_issueonly
GLM5_KG_filelocal_b10	500	10	0.914	0.6113805999555998	0.5341293650793651	0.7	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_KG_b10_p5
GLM5_BM25_filelocal_b10	500	10	0.91	0.6353495393495394	0.5397587301587299	0.724	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_BM25FileLocal_b10_p5
GLM5_BM25_KG_RRF_b10	500	10	0.916	0.6457826562326561	0.5433222222222223	0.734	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/deterministic_budget_fusions/GLM5_Hybrid_b10_p5
GLM5_issue_b20	500	20	0.874	0.529893573093573	0.5123071428571428	0.624	temp_run/eval_aliyun_glm5_issueonly
GLM5_KG_filelocal_b20	500	20	0.932	0.6551932484182484	0.5366908117596197	0.74	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_KG_b20_p10
GLM5_BM25_filelocal_b20	500	20	0.942	0.6922465312465312	0.5437262324191117	0.78	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_BM25FileLocal_b20_p10
GLM5_BM25_KG_RRF_b20	500	20	0.946	0.7086232267732268	0.5469265406506119	0.79	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/deterministic_budget_fusions/GLM5_Hybrid_b20_p10
GLM5_issue_b40	500	40	0.874	0.529893573093573	0.5123071428571428	0.624	temp_run/eval_aliyun_glm5_issueonly
GLM5_KG_filelocal_b40	500	40	0.938	0.6921611055611054	0.5376207616287553	0.768	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_KG_b40_p20
GLM5_BM25_filelocal_b40	500	40	0.956	0.7357815462315466	0.544900575083588	0.816	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_BM25FileLocal_b40_p20
GLM5_BM25_KG_RRF_b40	500	40	0.958	0.7597587246087248	0.548583610976905	0.838	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/deterministic_budget_fusions/GLM5_Hybrid_b40_p20
