baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
GLM5_issue_b5	GLM5_KG_filelocal_b5	5	file	500	0.838	0.884	0.04600000000000004	0.022	0.07	31	8	461	0.0002940768754342571
GLM5_issue_b5	GLM5_KG_filelocal_b5	5	method	500	0.507898457098457	0.5540250222000221	0.0461265651015651	0.02255238095238095	0.07044626207126208	43	20	437	NA
GLM5_issue_b5	GLM5_KG_filelocal_b5	5	mrr	500	0.5093333333333334	0.5268333333333333	0.01749999999999985	0.008466666666666667	0.027566666666666663	34	12	454	NA
GLM5_issue_b5	GLM5_KG_filelocal_b5	5	hit	500	0.604	0.65	0.04600000000000004	0.02	0.072	34	11	455	0.0008240823595997426
GLM5_issue_b5	GLM5_BM25_filelocal_b5	5	file	500	0.838	0.886	0.04800000000000004	0.024	0.072	32	8	460	0.0001821658297558315
GLM5_issue_b5	GLM5_BM25_filelocal_b5	5	method	500	0.507898457098457	0.5664414363414363	0.05854297924297924	0.03409701964701965	0.08505423465423465	57	23	420	NA
GLM5_issue_b5	GLM5_BM25_filelocal_b5	5	mrr	500	0.5093333333333334	0.5321666666666668	0.022833333333333372	0.013233333333333333	0.033566666666666654	42	14	444	NA
GLM5_issue_b5	GLM5_BM25_filelocal_b5	5	hit	500	0.604	0.662	0.05800000000000005	0.03	0.086	42	13	445	0.00011361060320691507
GLM5_issue_b5	GLM5_BM25_KG_RRF_b5	5	file	500	0.838	0.894	0.05600000000000005	0.032	0.082	35	7	458	1.5097200957825407e-05
GLM5_issue_b5	GLM5_BM25_KG_RRF_b5	5	method	500	0.507898457098457	0.5739333555333554	0.0660348984348984	0.04077564102564101	0.0926547619047619	60	20	420	NA
GLM5_issue_b5	GLM5_BM25_KG_RRF_b5	5	mrr	500	0.5093333333333334	0.5347666666666667	0.025433333333333308	0.015166666666666667	0.03676666666666665	44	14	442	NA
GLM5_issue_b5	GLM5_BM25_KG_RRF_b5	5	hit	500	0.604	0.666	0.062000000000000055	0.034	0.09	43	12	445	3.3053764732060564e-05
GLM5_KG_filelocal_b5	GLM5_BM25_filelocal_b5	5	file	500	0.884	0.886	0.0020000000000000018	-0.018	0.022	14	13	473	1.0
GLM5_KG_filelocal_b5	GLM5_BM25_filelocal_b5	5	method	500	0.5540250222000221	0.5664414363414363	0.012416414141414145	-0.009544444444444447	0.03472601010101011	38	23	439	NA
GLM5_KG_filelocal_b5	GLM5_BM25_filelocal_b5	5	mrr	500	0.5268333333333333	0.5321666666666668	0.005333333333333523	-0.004733333333333337	0.014966666666666665	35	18	447	NA
GLM5_KG_filelocal_b5	GLM5_BM25_filelocal_b5	5	hit	500	0.65	0.662	0.01200000000000001	-0.014	0.038	24	18	458	0.44079906734259566
GLM5_BM25_filelocal_b5	GLM5_BM25_KG_RRF_b5	5	file	500	0.886	0.894	0.008000000000000007	-0.004	0.02	7	3	490	0.34375
GLM5_BM25_filelocal_b5	GLM5_BM25_KG_RRF_b5	5	method	500	0.5664414363414363	0.5739333555333554	0.007491919191919161	-0.00665959595959596	0.02207979797979798	13	11	476	NA
