baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25	BM25_filelocal	20	file	500	0.77	0.736	-0.03400000000000003	-0.062	-0.008	15	32	453	0.01862383661500644
BM25	BM25_filelocal	20	method	500	0.3920462481962482	0.5007613275613275	0.10871507936507929	0.06661724386724387	0.1516246031746032	121	54	325	NA
BM25	BM25_filelocal	20	mrr	500	0.25258785381285387	0.2864737545478257	0.03388590073497183	-0.0014650632133604287	0.07002795794676613	162	116	222	NA
BM25	BM25_filelocal	20	hit	500	0.46	0.57	0.10999999999999993	0.064	0.156	100	45	355	5.72317416461909e-06
KG_grounded	KG_filelocal	20	file	500	0.556	0.592	0.03599999999999992	0.02	0.054	19	1	480	4.00543212890625e-05
KG_grounded	KG_filelocal	20	method	500	0.3377373737373737	0.4542596681096681	0.11652229437229439	0.08812348484848485	0.1458556277056277	79	10	411	NA
KG_grounded	KG_filelocal	20	mrr	500	0.2224038519873659	0.26336495101046187	0.04096109902309597	0.029913109757459602	0.05284461069546211	105	44	351	NA
KG_grounded	KG_filelocal	20	hit	500	0.378	0.508	0.13	0.1	0.162	67	2	431	8.185726402265558e-18
KG_filelocal	BM25_filelocal	20	file	500	0.592	0.736	0.14400000000000002	0.096	0.192	115	43	342	9.028801681530523e-09
KG_filelocal	BM25_filelocal	20	method	500	0.4542596681096681	0.5007613275613275	0.046501659451659405	0.004544516594516597	0.08983531746031745	100	69	331	NA
KG_filelocal	BM25_filelocal	20	mrr	500	0.26336495101046187	0.2864737545478257	0.02310880353736383	-0.01003408886435203	0.05714152935128168	175	117	208	NA
KG_filelocal	BM25_filelocal	20	hit	500	0.508	0.57	0.061999999999999944	0.014	0.11	90	59	351	0.013712033079849216
BM25_filelocal	BM25_KG_RRF_filelocal	20	file	500	0.736	0.77	0.03400000000000003	0.006	0.062	33	16	451	0.021294114141387155
BM25_filelocal	BM25_KG_RRF_filelocal	20	method	500	0.5007613275613275	0.5528888888888888	0.052127561327561245	0.025256565656565658	0.07900209235209237	49	21	430	NA
BM25_filelocal	BM25_KG_RRF_filelocal	20	mrr	500	0.2864737545478257	0.31976817442103816	0.033294419873212466	0.01661661238658141	0.050310718108860536	124	54	322	NA
BM25_filelocal	BM25_KG_RRF_filelocal	20	hit	500	0.57	0.628	0.05800000000000005	0.03	0.088	43	14	443	0.00015388902244434233
KG_filelocal	BM25_KG_RRF_filelocal	20	file	500	0.592	0.77	0.17800000000000005	0.14	0.216	99	10	391	1.457836211253665e-19
KG_filelocal	BM25_KG_RRF_filelocal	20	method	500	0.4542596681096681	0.5528888888888888	0.09862922077922065	0.06613203463203463	0.1313534632034632	91	30	379	NA
KG_filelocal	BM25_KG_RRF_filelocal	20	mrr	500	0.26336495101046187	0.31976817442103816	0.0564032234105763	0.02820541379844786	0.08486659529840648	192	80	228	NA
KG_filelocal	BM25_KG_RRF_filelocal	20	hit	500	0.508	0.628	0.12	0.082	0.158	80	20	400	1.1159089057251951e-09
GLM5_issue	GLM5_KG_filelocal	20	file	500	0.874	0.932	0.05800000000000005	0.038	0.08	30	1	469	2.9802322387695312e-08
GLM5_issue	GLM5_KG_filelocal	20	method	500	0.529893573093573	0.6551932484182484	0.12529967532467545	0.09872619047619048	0.15269285714285716	83	0	417	NA
GLM5_issue	GLM5_KG_filelocal	20	mrr	500	0.5123071428571428	0.5366908117596197	0.024383668902476896	0.016315164367795943	0.033911082218435154	58	0	442	NA
GLM5_issue	GLM5_KG_filelocal	20	hit	500	0.624	0.74	0.11599999999999999	0.088	0.144	58	0	442	6.938893903907228e-18
GLM5_issue	GLM5_BM25_filelocal	20	file	500	0.874	0.942	0.06799999999999995	0.046	0.092	34	0	466	1.1641532182693481e-10
GLM5_issue	GLM5_BM25_filelocal	20	method	500	0.529893573093573	0.6922465312465312	0.16235295815295825	0.1331759018759019	0.1930443722943723	114	0	386	NA
GLM5_issue	GLM5_BM25_filelocal	20	mrr	500	0.5123071428571428	0.5437262324191117	0.031419089561968816	0.022968473717544916	0.04108800932469661	78	0	422	NA
GLM5_issue	GLM5_BM25_filelocal	20	hit	500	0.624	0.78	0.15600000000000003	0.124	0.188	78	0	422	6.617444900424222e-24
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	file	500	0.874	0.946	0.07199999999999995	0.05	0.096	37	1	462	2.837623469531536e-10
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	method	500	0.529893573093573	0.7086232267732268	0.17872965367965377	0.14886385281385278	0.20931666666666662	121	0	379	NA
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	mrr	500	0.5123071428571428	0.5469265406506119	0.03461939779346901	0.025332912581054988	0.045094285040724665	83	0	417	NA
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	hit	500	0.624	0.79	0.16600000000000004	0.134	0.198	83	0	417	2.0679515313825692e-25
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	file	500	0.932	0.942	0.009999999999999898	-0.006	0.028	12	7	481	0.359283447265625
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	method	500	0.6551932484182484	0.6922465312465312	0.037053282828282796	0.010183441558441562	0.06442582972582972	56	28	416	NA
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	mrr	500	0.5366908117596197	0.5437262324191117	0.00703542065949192	-0.0021267955470741858	0.015651663360719086	60	23	417	NA
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	hit	500	0.74	0.78	0.040000000000000036	0.01	0.07	39	19	442	0.011928139715763175
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	file	500	0.942	0.946	0.0040000000000000036	-0.006	0.016	5	3	492	0.7265625
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	method	500	0.6922465312465312	0.7086232267732268	0.016376695526695517	-0.0020134920634920644	0.035951010101010115	27	17	456	NA
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	mrr	500	0.5437262324191117	0.5469265406506119	0.003200308231500193	-0.0006234829755727589	0.007329715837997573	33	24	443	NA
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	hit	500	0.78	0.79	0.010000000000000009	-0.01	0.032	17	12	471	0.45825831964612007
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	file	500	0.932	0.946	0.013999999999999901	0.002	0.028	9	2	489	0.0654296875
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	method	500	0.6551932484182484	0.7086232267732268	0.053429978354978314	0.03279523809523809	0.07565043290043288	49	10	441	NA
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	mrr	500	0.5366908117596197	0.5469265406506119	0.010235728890992113	0.002269050222223598	0.018132898559988342	60	19	421	NA
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	hit	500	0.74	0.79	0.050000000000000044	0.028	0.074	31	6	463	4.12575900554657e-05
