repo	n	issue_hits	kg_aug_hits	new	lost	delta_pp	kg_only_hits
django__django	231	165	178	13	0	5.6	101
sympy__sympy	75	42	50	8	0	10.7	34
sphinx-doc__sphinx	44	19	22	3	0	6.8	8
matplotlib__matplotlib	34	15	15	0	0	0.0	1
scikit-learn__scikit-learn	32	19	22	3	0	9.4	11
astropy__astropy	22	14	18	4	0	18.2	12
pydata__xarray	22	15	16	1	0	4.5	13
pytest-dev__pytest	19	12	14	2	0	10.5	4
pylint-dev__pylint	10	5	5	0	0	0.0	2
psf__requests	8	5	5	0	0	0.0	2
mwaskom__seaborn	2	1	1	0	0	0.0	1
pallets__flask	1	0	0	0	0	0.0	0
